Target Distance:50, Step size:1
1948: (x,y)=(-27.7541,20.1549)
1949: (x,y)=(-28.3559,19.3563)
1950: (x,y)=(-28.6649,20.3073)
1951: (x,y)=(-28.2109,21.1983)
1952: (x,y)=(-27.7109,20.3323)
1953: (x,y)=(-26.7366,20.1074)
1954: (x,y)=(-25.791,20.4329)
1955: (x,y)=(-25.7736,21.4328)
1956: (x,y)=(-24.9164,21.9478)
1957: (x,y)=(-25.9126,22.035)
1958: (x,y)=(-26.7786,22.535)
1959: (x,y)=(-27.7183,22.877)
1960: (x,y)=(-26.9303,23.4926)
1961: (x,y)=(-27.8439,23.0859)
1962: (x,y)=(-27.6019,24.0562)
1963: (x,y)=(-28.553,24.3652)
1964: (x,y)=(-29.2961,23.6961)
1965: (x,y)=(-28.7662,22.848)
1966: (x,y)=(-29.4976,22.166)
1967: (x,y)=(-29.4278,21.1685)
1968: (x,y)=(-28.4284,21.1336)
1969: (x,y)=(-28.1865,22.1039)
1970: (x,y)=(-28.5285,23.0436)
1971: (x,y)=(-28.1218,23.9571)
1972: (x,y)=(-29.0781,23.6647)
1973: (x,y)=(-29.32,24.635)
1974: (x,y)=(-30.2903,24.3931)
1975: (x,y)=(-30.9331,25.1592)
1976: (x,y)=(-31.0723,24.1689)
1977: (x,y)=(-30.0907,23.9781)
1978: (x,y)=(-29.1247,24.2369)
1979: (x,y)=(-29.2466,25.2295)
1980: (x,y)=(-30.1977,25.5385)
1981: (x,y)=(-29.823,26.4657)
1982: (x,y)=(-29.7012,25.4731)
1983: (x,y)=(-30.4559,26.1292)
1984: (x,y)=(-30.0333,25.2229)
1985: (x,y)=(-29.6107,24.3166)
1986: (x,y)=(-28.6971,23.9098)
1987: (x,y)=(-27.7155,24.1006)
1988: (x,y)=(-28.4348,23.406)
1989: (x,y)=(-28.9043,22.523)
1990: (x,y)=(-27.9588,22.1974)
1991: (x,y)=(-27.7338,21.2231)
1992: (x,y)=(-26.8509,21.6926)
1993: (x,y)=(-27.1097,20.7266)
1994: (x,y)=(-26.6871,19.8203)
1995: (x,y)=(-26.5999,18.8241)
1996: (x,y)=(-25.6602,18.4821)
1997: (x,y)=(-24.6604,18.4996)
1998: (x,y)=(-24.6255,17.5002)
1999: (x,y)=(-24.4176,18.4783)
2000: (x,y)=(-25.3919,18.7033)
2001: (x,y)=(-24.8769,19.5604)
2002: (x,y)=(-24.8944,20.5603)
2003: (x,y)=(-25.8007,20.9829)
2004: (x,y)=(-26.6753,20.4981)
2005: (x,y)=(-26.7971,21.4906)
2006: (x,y)=(-26.7274,20.4931)
2007: (x,y)=(-27.7219,20.3885)
2008: (x,y)=(-28.2811,19.5595)
2009: (x,y)=(-27.8271,20.4505)
2010: (x,y)=(-27.3423,19.5759)
2011: (x,y)=(-27.0835,18.61)
2012: (x,y)=(-26.8416,17.6397)
2013: (x,y)=(-27.7871,17.9652)
2014: (x,y)=(-27.2424,18.8039)
2015: (x,y)=(-28.2168,18.579)
2016: (x,y)=(-27.8748,17.6393)
2017: (x,y)=(-28.7135,18.1839)
2018: (x,y)=(-29.2135,19.0499)
2019: (x,y)=(-28.5841,18.2728)
2020: (x,y)=(-28.706,19.2653)
2021: (x,y)=(-27.918,18.6497)
2022: (x,y)=(-28.727,19.2375)
2023: (x,y)=(-29.0194,20.1938)
2024: (x,y)=(-28.5044,19.3366)
2025: (x,y)=(-27.5341,19.0947)
2026: (x,y)=(-27.5341,18.0947)
2027: (x,y)=(-26.8147,17.4)
2028: (x,y)=(-27.721,16.9774)
2029: (x,y)=(-27.721,17.9774)
2030: (x,y)=(-28.3367,17.1894)
2031: (x,y)=(-29.2703,16.831)
2032: (x,y)=(-28.5271,16.1619)
2033: (x,y)=(-28.9811,17.0529)
2034: (x,y)=(-29.2061,18.0273)
2035: (x,y)=(-30.1396,18.3856)
2036: (x,y)=(-31.0907,18.6946)
2037: (x,y)=(-32.0852,18.5901)
2038: (x,y)=(-31.1342,18.8991)
2039: (x,y)=(-30.9092,17.9248)
2040: (x,y)=(-31.6286,18.6194)
2041: (x,y)=(-31.4894,17.6292)
2042: (x,y)=(-30.5281,17.9048)
2043: (x,y)=(-30.3202,18.8829)
2044: (x,y)=(-29.4912,18.3237)
2045: (x,y)=(-29.3175,17.3389)
2046: (x,y)=(-28.8481,18.2219)
2047: (x,y)=(-29.4908,18.9879)
2048: (x,y)=(-29.2659,19.9623)
2049: (x,y)=(-28.7964,20.8452)
2050: (x,y)=(-28.7267,19.8477)
2051: (x,y)=(-27.9835,19.1786)
2052: (x,y)=(-28.1572,20.1634)
2053: (x,y)=(-27.1869,20.4053)
2054: (x,y)=(-26.3482,19.8606)
2055: (x,y)=(-27.1468,20.4625)
2056: (x,y)=(-27.6619,19.6053)
2057: (x,y)=(-27.2079,20.4963)
2058: (x,y)=(-27.8639,21.251)
2059: (x,y)=(-28.8615,21.1812)
2060: (x,y)=(-27.9052,21.4736)
2061: (x,y)=(-27.9924,20.4774)
2062: (x,y)=(-28.9487,20.1851)
2063: (x,y)=(-29.1566,19.2069)
2064: (x,y)=(-28.8476,20.158)
2065: (x,y)=(-29.5422,19.4386)
2066: (x,y)=(-29.6814,20.4289)
2067: (x,y)=(-30.0398,21.3625)
2068: (x,y)=(-30.7591,20.6678)
2069: (x,y)=(-30.7765,21.6677)
2070: (x,y)=(-31.4837,20.9606)
2071: (x,y)=(-31.6573,21.9454)
2072: (x,y)=(-31.2666,22.8659)
2073: (x,y)=(-31.9612,22.1465)
2074: (x,y)=(-31.3184,21.3805)
2075: (x,y)=(-31.3184,20.3805)
2076: (x,y)=(-30.3979,20.7712)
2077: (x,y)=(-29.7419,21.5259)
2078: (x,y)=(-30.2865,20.6873)
2079: (x,y)=(-29.2871,20.6524)
2080: (x,y)=(-30.2847,20.7221)
2081: (x,y)=(-31.016,20.0401)
2082: (x,y)=(-32.0136,19.9704)
2083: (x,y)=(-31.2365,20.5997)
2084: (x,y)=(-32.1762,20.9417)
2085: (x,y)=(-33.0052,20.3825)
2086: (x,y)=(-33.2131,19.4044)
2087: (x,y)=(-32.2254,19.2479)
2088: (x,y)=(-31.6098,18.4599)
2089: (x,y)=(-31.3848,19.4343)
2090: (x,y)=(-31.8232,18.5355)
2091: (x,y)=(-31.736,19.5317)
2092: (x,y)=(-32.3653,20.3088)
2093: (x,y)=(-32.0233,21.2485)
2094: (x,y)=(-31.067,20.9561)
2095: (x,y)=(-30.0725,20.8516)
2096: (x,y)=(-30.5573,21.7262)
2097: (x,y)=(-30.0274,22.5743)
2098: (x,y)=(-29.5274,21.7083)
2099: (x,y)=(-28.6528,21.2235)
2100: (x,y)=(-28.0371,22.0115)
2101: (x,y)=(-27.6625,22.9386)
2102: (x,y)=(-26.8853,22.3093)
2103: (x,y)=(-27.8847,22.2744)
2104: (x,y)=(-28.5539,23.0176)
2105: (x,y)=(-28.9922,22.1188)
2106: (x,y)=(-28.7673,23.0931)
2107: (x,y)=(-29.4101,23.8592)
2108: (x,y)=(-28.4198,23.72)
2109: (x,y)=(-27.6212,24.3218)
2110: (x,y)=(-27.7603,23.3316)
2111: (x,y)=(-27.041,22.6369)
2112: (x,y)=(-26.0434,22.5672)
2113: (x,y)=(-26.418,23.4943)
2114: (x,y)=(-27.3962,23.2864)
2115: (x,y)=(-27.998,24.0851)
2116: (x,y)=(-27.0132,23.9114)
2117: (x,y)=(-27.8012,23.2957)
2118: (x,y)=(-28.6102,23.8835)
2119: (x,y)=(-27.9946,24.6715)
2120: (x,y)=(-28.5681,23.8524)
2121: (x,y)=(-27.7591,24.4402)
2122: (x,y)=(-28.7537,24.3356)
2123: (x,y)=(-29.7535,24.3531)
2124: (x,y)=(-28.7559,24.2833)
2125: (x,y)=(-27.7614,24.1788)
2126: (x,y)=(-28.7011,23.8368)
2127: (x,y)=(-27.7013,23.8542)
2128: (x,y)=(-26.9581,24.5234)
2129: (x,y)=(-25.9636,24.6279)
2130: (x,y)=(-26.1372,25.6127)
2131: (x,y)=(-25.1862,25.9217)
2132: (x,y)=(-26.1067,26.3125)
2133: (x,y)=(-26.1241,25.3126)
2134: (x,y)=(-27.1023,25.5205)
2135: (x,y)=(-27.4769,26.4477)
2136: (x,y)=(-26.9619,27.3049)
2137: (x,y)=(-25.9916,27.063)
2138: (x,y)=(-26.3006,26.1119)
2139: (x,y)=(-25.4176,25.6424)
2140: (x,y)=(-24.7616,24.8877)
2141: (x,y)=(-24.5537,23.9096)
2142: (x,y)=(-24.9283,22.9824)
2143: (x,y)=(-24.5375,22.0619)
2144: (x,y)=(-23.7715,22.7047)
2145: (x,y)=(-22.8102,22.429)
2146: (x,y)=(-23.8101,22.4465)
2147: (x,y)=(-24.2949,23.3211)
2148: (x,y)=(-25.2012,22.8985)
2149: (x,y)=(-25.1314,21.9009)
2150: (x,y)=(-25.5854,21.0099)
2151: (x,y)=(-26.5126,21.3845)
2152: (x,y)=(-26.8382,22.33)
2153: (x,y)=(-26.0292,21.7423)
2154: (x,y)=(-26.4832,22.6333)
2155: (x,y)=(-27.3403,22.1182)
2156: (x,y)=(-26.6332,21.4111)
2157: (x,y)=(-25.6877,21.7367)
2158: (x,y)=(-26.1725,22.6113)
2159: (x,y)=(-26.3117,21.621)
2160: (x,y)=(-27.2027,22.075)
2161: (x,y)=(-28.1639,22.3507)
2162: (x,y)=(-28.6023,21.4519)
2163: (x,y)=(-28.9279,22.3974)
2164: (x,y)=(-29.8414,22.8041)
2165: (x,y)=(-29.0983,22.135)
2166: (x,y)=(-29.0634,23.1344)
2167: (x,y)=(-28.4616,22.3358)
2168: (x,y)=(-28.4092,21.3371)
2169: (x,y)=(-29.1639,20.6811)
2170: (x,y)=(-29.473,19.73)
2171: (x,y)=(-28.6639,20.3178)
2172: (x,y)=(-29.4626,20.9196)
2173: (x,y)=(-28.6054,20.4046)
2174: (x,y)=(-27.7308,20.8894)
2175: (x,y)=(-26.7695,20.6137)
2176: (x,y)=(-26.0624,21.3208)
2177: (x,y)=(-26.5472,22.1955)
2178: (x,y)=(-25.988,21.3664)
2179: (x,y)=(-26.9336,21.0409)
2180: (x,y)=(-27.7107,21.6702)
2181: (x,y)=(-28.0527,22.6099)
2182: (x,y)=(-29.0271,22.3849)
2183: (x,y)=(-29.3361,21.4339)
2184: (x,y)=(-28.3702,21.175)
2185: (x,y)=(-28.2483,20.1825)
2186: (x,y)=(-28.8075,21.0115)
2187: (x,y)=(-29.7138,20.5889)
2188: (x,y)=(-30.4799,21.2317)
2189: (x,y)=(-29.6138,20.7317)
2190: (x,y)=(-30.2699,21.4864)
2191: (x,y)=(-31.2154,21.812)
2192: (x,y)=(-30.2818,22.1704)
2193: (x,y)=(-30.0062,21.2091)
2194: (x,y)=(-29.6642,20.2694)
2195: (x,y)=(-29.0349,21.0465)
2196: (x,y)=(-30.013,20.8386)
2197: (x,y)=(-29.331,21.57)
2198: (x,y)=(-29.556,22.5444)
2199: (x,y)=(-29.8316,21.5831)
2200: (x,y)=(-30.4052,22.4022)
2201: (x,y)=(-29.7624,21.6362)
2202: (x,y)=(-29.9532,22.6178)
2203: (x,y)=(-30.9042,22.9268)
2204: (x,y)=(-31.1966,21.9705)
2205: (x,y)=(-30.4895,21.2634)
2206: (x,y)=(-30.9435,20.3724)
2207: (x,y)=(-30.8043,19.3822)
2208: (x,y)=(-31.4471,20.1482)
2209: (x,y)=(-31.7727,21.0937)
2210: (x,y)=(-32.2575,20.2191)
2211: (x,y)=(-33.0455,20.8348)
2212: (x,y)=(-32.1183,21.2094)
2213: (x,y)=(-31.4237,21.9287)
2214: (x,y)=(-30.7943,22.7059)
2215: (x,y)=(-30.1123,23.4372)
2216: (x,y)=(-29.82,22.4809)
2217: (x,y)=(-28.854,22.7397)
2218: (x,y)=(-29.8502,22.6526)
2219: (x,y)=(-30.7899,22.9946)
2220: (x,y)=(-31.7355,23.3202)
2221: (x,y)=(-31.84,22.3256)
2222: (x,y)=(-30.9064,22.684)
2223: (x,y)=(-30.1871,21.9893)
2224: (x,y)=(-30.0652,20.9968)
2225: (x,y)=(-31.05,21.1704)
2226: (x,y)=(-30.262,21.7861)
2227: (x,y)=(-29.6327,21.009)
2228: (x,y)=(-30.3398,20.3019)
2229: (x,y)=(-30.8398,19.4358)
2230: (x,y)=(-30.1084,18.7538)
2231: (x,y)=(-30.5624,17.8628)
2232: (x,y)=(-29.5965,18.1216)
2233: (x,y)=(-28.6149,18.3125)
2234: (x,y)=(-28.5625,19.3111)
2235: (x,y)=(-29.2445,20.0424)
2236: (x,y)=(-30.0832,20.5871)
2237: (x,y)=(-31.0342,20.2781)
2238: (x,y)=(-31.9406,20.7007)
2239: (x,y)=(-31.1634,21.33)
2240: (x,y)=(-30.2429,21.7207)
2241: (x,y)=(-29.5482,21.0014)
2242: (x,y)=(-29.1736,20.0742)
2243: (x,y)=(-28.2907,20.5437)
2244: (x,y)=(-28.6491,19.6101)
2245: (x,y)=(-29.3311,18.8787)
2246: (x,y)=(-28.483,18.3488)
2247: (x,y)=(-28.6909,19.327)
2248: (x,y)=(-27.7346,19.0346)
2249: (x,y)=(-26.7498,19.2082)
2250: (x,y)=(-27.7009,19.5173)
2251: (x,y)=(-26.7022,19.4649)
2252: (x,y)=(-27.4454,20.1341)
2253: (x,y)=(-27.1866,21.1)
2254: (x,y)=(-26.2049,20.9092)
2255: (x,y)=(-25.2268,20.7013)
2256: (x,y)=(-25.7418,21.5584)
2257: (x,y)=(-24.7473,21.4539)
2258: (x,y)=(-24.2778,20.571)
2259: (x,y)=(-25.1439,20.071)
2260: (x,y)=(-24.1513,20.1928)
2261: (x,y)=(-24.0121,21.1831)
2262: (x,y)=(-24.9734,20.9075)
2263: (x,y)=(-23.9809,21.0293)
2264: (x,y)=(-22.9906,20.8902)
2265: (x,y)=(-23.9754,20.7165)
2266: (x,y)=(-23.0766,21.1549)
2267: (x,y)=(-22.1022,21.3798)
2268: (x,y)=(-22.9852,20.9104)
2269: (x,y)=(-23.9464,21.186)
2270: (x,y)=(-24.9341,21.0296)
2271: (x,y)=(-24.191,21.6987)
2272: (x,y)=(-25.1522,21.9743)
2273: (x,y)=(-24.2251,22.3489)
2274: (x,y)=(-23.5304,21.6296)
2275: (x,y)=(-23.9844,20.7386)
2276: (x,y)=(-23.3551,19.9614)
2277: (x,y)=(-22.5564,19.3596)
2278: (x,y)=(-23.5075,19.6686)
2279: (x,y)=(-22.5227,19.8423)
2280: (x,y)=(-23.5172,19.7378)
2281: (x,y)=(-23.3093,20.7159)
2282: (x,y)=(-24.2874,20.508)
2283: (x,y)=(-23.5803,19.8009)
2284: (x,y)=(-22.5987,19.6101)
2285: (x,y)=(-23.1434,18.7714)
2286: (x,y)=(-22.2687,18.2866)
2287: (x,y)=(-21.4597,18.8744)
2288: (x,y)=(-22.4108,19.1834)
2289: (x,y)=(-21.4711,18.8414)
2290: (x,y)=(-20.8418,18.0642)
2291: (x,y)=(-21.2644,18.9705)
2292: (x,y)=(-22.2569,18.8487)
2293: (x,y)=(-21.7419,19.7058)
2294: (x,y)=(-20.7474,19.6013)
2295: (x,y)=(-20.921,20.5861)
2296: (x,y)=(-20.8687,21.5848)
2297: (x,y)=(-20.2259,20.8187)
2298: (x,y)=(-19.2273,20.7664)
2299: (x,y)=(-20.1478,20.3756)
2300: (x,y)=(-20.1827,19.3763)
2301: (x,y)=(-20.3735,18.3946)
2302: (x,y)=(-21.1825,18.9824)
2303: (x,y)=(-21.6673,19.857)
2304: (x,y)=(-21.5975,18.8595)
2305: (x,y)=(-20.6099,19.0159)
2306: (x,y)=(-19.8785,19.6979)
2307: (x,y)=(-18.965,20.1046)
2308: (x,y)=(-19.831,19.6046)
2309: (x,y)=(-20.8126,19.4138)
2310: (x,y)=(-21.544,18.7318)
2311: (x,y)=(-22.4011,18.2168)
2312: (x,y)=(-23.3466,17.8912)
2313: (x,y)=(-22.8316,18.7484)
2314: (x,y)=(-22.2298,17.9498)
2315: (x,y)=(-23.087,17.4347)
2316: (x,y)=(-24.0482,17.1591)
2317: (x,y)=(-23.0496,17.1067)
2318: (x,y)=(-22.1508,16.6684)
2319: (x,y)=(-21.2303,16.2776)
2320: (x,y)=(-21.0739,15.29)
2321: (x,y)=(-20.1751,15.7283)
2322: (x,y)=(-19.5323,14.9623)
2323: (x,y)=(-18.8762,14.2076)
2324: (x,y)=(-19.6423,14.8504)
2325: (x,y)=(-20.4194,15.4797)
2326: (x,y)=(-20.127,16.436)
2327: (x,y)=(-20.7698,17.202)
2328: (x,y)=(-20.0505,16.5074)
2329: (x,y)=(-20.7325,15.776)
2330: (x,y)=(-19.738,15.6715)
2331: (x,y)=(-19.1933,14.8328)
2332: (x,y)=(-18.287,14.4102)
2333: (x,y)=(-17.3534,14.7686)
2334: (x,y)=(-17.8834,13.9205)
2335: (x,y)=(-18.6147,13.2385)
2336: (x,y)=(-17.9456,13.9817)
2337: (x,y)=(-17.0059,14.3237)
2338: (x,y)=(-17.9875,14.1329)
2339: (x,y)=(-16.9881,14.098)
2340: (x,y)=(-17.7195,14.78)
2341: (x,y)=(-17.4105,13.8289)
2342: (x,y)=(-18.3886,14.0368)
2343: (x,y)=(-19.3668,13.8289)
2344: (x,y)=(-18.5896,14.4582)
2345: (x,y)=(-19.5882,14.5106)
2346: (x,y)=(-19.3294,15.4765)
2347: (x,y)=(-20.243,15.8832)
2348: (x,y)=(-19.9673,14.922)
2349: (x,y)=(-20.1752,13.9438)
2350: (x,y)=(-20.0016,14.9286)
2351: (x,y)=(-20.9864,14.755)
2352: (x,y)=(-19.9961,14.8942)
2353: (x,y)=(-19.3668,15.6713)
2354: (x,y)=(-18.8973,16.5543)
2355: (x,y)=(-18.0493,16.0243)
2356: (x,y)=(-18.8783,16.5835)
2357: (x,y)=(-19.8055,16.9581)
2358: (x,y)=(-20.2903,17.8328)
2359: (x,y)=(-21.2879,17.9025)
2360: (x,y)=(-20.5218,17.2597)
2361: (x,y)=(-21.4831,16.9841)
2362: (x,y)=(-21.8738,16.0636)
2363: (x,y)=(-22.5932,15.3689)
2364: (x,y)=(-23.181,14.5599)
2365: (x,y)=(-23.1286,13.5613)
2366: (x,y)=(-22.6438,14.4359)
2367: (x,y)=(-22.1139,15.2839)
2368: (x,y)=(-22.5046,14.3634)
2369: (x,y)=(-23.4705,14.6223)
2370: (x,y)=(-22.9555,13.7651)
2371: (x,y)=(-22.1265,14.3243)
2372: (x,y)=(-21.97,15.312)
2373: (x,y)=(-22.97,15.312)
2374: (x,y)=(-23.0224,16.3106)
2375: (x,y)=(-22.6968,15.3651)
2376: (x,y)=(-22.1522,16.2038)
2377: (x,y)=(-21.1596,16.0819)
2378: (x,y)=(-20.586,16.901)
2379: (x,y)=(-21.4052,16.3275)
2380: (x,y)=(-20.4076,16.2577)
2381: (x,y)=(-19.5088,15.8193)
2382: (x,y)=(-19.596,16.8155)
2383: (x,y)=(-19.5785,17.8154)
2384: (x,y)=(-19.596,16.8155)
2385: (x,y)=(-18.6301,17.0743)
2386: (x,y)=(-17.8109,16.5008)
2387: (x,y)=(-16.8365,16.2758)
2388: (x,y)=(-16.8365,15.2758)
2389: (x,y)=(-17.7762,15.6178)
2390: (x,y)=(-17.7937,14.618)
2391: (x,y)=(-17.8808,15.6142)
2392: (x,y)=(-18.1565,16.5754)
2393: (x,y)=(-18.8125,17.3302)
2394: (x,y)=(-19.8051,17.452)
2395: (x,y)=(-20.8037,17.3997)
2396: (x,y)=(-20.413,16.4792)
2397: (x,y)=(-20.6718,15.5133)
2398: (x,y)=(-19.687,15.3396)
2399: (x,y)=(-20.6686,15.1488)
2400: (x,y)=(-21.6249,14.8564)
2401: (x,y)=(-22.0475,13.9501)
2402: (x,y)=(-23.0437,14.0373)
2403: (x,y)=(-23.0263,13.0374)
2404: (x,y)=(-23.9535,12.6628)
2405: (x,y)=(-22.9791,12.8878)
2406: (x,y)=(-23.9639,12.7141)
2407: (x,y)=(-24.5932,11.937)
2408: (x,y)=(-25.0159,11.0307)
2409: (x,y)=(-25.9069,11.4847)
2410: (x,y)=(-25.1408,10.8419)
2411: (x,y)=(-24.5252,11.6299)
2412: (x,y)=(-24.1344,10.7094)
2413: (x,y)=(-24.509,11.6366)
2414: (x,y)=(-24.5439,10.6372)
2415: (x,y)=(-24.2019,9.69748)
2416: (x,y)=(-25.0929,9.24349)
2417: (x,y)=(-24.9537,8.25322)
2418: (x,y)=(-24.4689,7.3786)
2419: (x,y)=(-25.1117,8.14465)
2420: (x,y)=(-24.3346,8.77397)
2421: (x,y)=(-23.5799,9.43003)
2422: (x,y)=(-22.6811,9.8684)
2423: (x,y)=(-23.3104,9.09125)
2424: (x,y)=(-22.311,9.12615)
2425: (x,y)=(-21.3111,9.1087)
2426: (x,y)=(-22.2988,9.26513)
2427: (x,y)=(-21.3653,8.90676)
2428: (x,y)=(-20.7225,8.14072)
2429: (x,y)=(-21.5971,8.62553)
2430: (x,y)=(-22.3284,9.30753)
2431: (x,y)=(-23.0598,8.62553)
2432: (x,y)=(-22.8179,7.65523)
2433: (x,y)=(-22.8702,8.65386)
2434: (x,y)=(-23.5522,7.92251)
2435: (x,y)=(-23.7086,8.9102)
2436: (x,y)=(-23.8995,9.89182)
2437: (x,y)=(-24.8843,10.0655)
2438: (x,y)=(-23.9099,9.84052)
2439: (x,y)=(-24.3794,8.95757)
2440: (x,y)=(-24.9529,8.13842)
2441: (x,y)=(-24.6109,7.19873)
2442: (x,y)=(-25.4855,7.68354)
2443: (x,y)=(-24.7909,6.9642)
2444: (x,y)=(-25.5222,7.6462)
2445: (x,y)=(-24.963,8.47524)
2446: (x,y)=(-25.9447,8.28443)
2447: (x,y)=(-26.0838,9.27469)
2448: (x,y)=(-25.1567,9.6493)
2449: (x,y)=(-26.0396,10.1188)
2450: (x,y)=(-27.0372,10.1885)
2451: (x,y)=(-27.4912,11.0795)
2452: (x,y)=(-28.1472,10.3248)
2453: (x,y)=(-28.1996,9.3262)
2454: (x,y)=(-27.6404,10.1552)
2455: (x,y)=(-27.0957,9.31656)
2456: (x,y)=(-26.0957,9.31656)
2457: (x,y)=(-26.9047,9.90435)
2458: (x,y)=(-27.8924,10.0608)
2459: (x,y)=(-27.8053,11.057)
2460: (x,y)=(-28.196,10.1365)
2461: (x,y)=(-27.2825,9.72974)
2462: (x,y)=(-26.4534,9.17054)
2463: (x,y)=(-27.1481,8.4512)
2464: (x,y)=(-28.1093,8.72684)
2465: (x,y)=(-27.751,7.79326)
2466: (x,y)=(-27.2211,8.64131)
2467: (x,y)=(-27.2211,7.64131)
2468: (x,y)=(-26.8955,6.69579)
2469: (x,y)=(-27.5383,7.46183)
2470: (x,y)=(-28.5381,7.47929)
2471: (x,y)=(-28.2126,6.53377)
2472: (x,y)=(-27.3296,6.0643)
2473: (x,y)=(-26.455,6.54911)
2474: (x,y)=(-27.1981,7.21824)
2475: (x,y)=(-28.1684,6.97632)
2476: (x,y)=(-28.6835,7.83348)
2477: (x,y)=(-29.2712,8.6425)
2478: (x,y)=(-29.2538,7.64265)
2479: (x,y)=(-28.2975,7.93502)
2480: (x,y)=(-28.5394,6.96473)
2481: (x,y)=(-27.8323,7.67183)
2482: (x,y)=(-26.9413,8.12583)
2483: (x,y)=(-26.0667,7.64102)
2484: (x,y)=(-25.1462,7.25028)
2485: (x,y)=(-25.1985,8.24891)
2486: (x,y)=(-24.1999,8.19658)
2487: (x,y)=(-25.1815,8.00577)
2488: (x,y)=(-24.4744,8.71288)
2489: (x,y)=(-24.8811,7.79933)
2490: (x,y)=(-23.9356,8.1249)
2491: (x,y)=(-24.9259,8.26407)
2492: (x,y)=(-25.6572,7.58207)
2493: (x,y)=(-24.6791,7.37416)
2494: (x,y)=(-24.5746,8.36868)
2495: (x,y)=(-24.2325,9.30838)
2496: (x,y)=(-25.1985,9.04956)
2497: (x,y)=(-24.2922,9.47218)
2498: (x,y)=(-24.9613,8.72903)
2499: (x,y)=(-24.6689,9.68534)
2500: (x,y)=(-23.7179,9.37632)
2501: (x,y)=(-22.8792,8.83168)
2502: (x,y)=(-23.1041,9.80605)
2503: (x,y)=(-23.6777,10.6252)
2504: (x,y)=(-24.5523,11.11)
2505: (x,y)=(-25.4433,11.564)
2506: (x,y)=(-25.151,12.5203)
2507: (x,y)=(-25.4765,11.5748)
2508: (x,y)=(-25.2516,10.6004)
2509: (x,y)=(-25.7815,11.4485)
2510: (x,y)=(-25.7815,10.4485)
2511: (x,y)=(-24.9525,9.88927)
2512: (x,y)=(-23.9866,10.1481)
2513: (x,y)=(-23.6282,11.0817)
2514: (x,y)=(-24.4669,10.537)
2515: (x,y)=(-23.4682,10.4847)
2516: (x,y)=(-22.5694,10.9231)
2517: (x,y)=(-21.8748,11.6424)
2518: (x,y)=(-21.0868,11.0267)
2519: (x,y)=(-21.5868,10.1607)
2520: (x,y)=(-21.5519,11.1601)
2521: (x,y)=(-20.5859,10.9013)
2522: (x,y)=(-21.5472,11.1769)
2523: (x,y)=(-21.9056,10.2434)
2524: (x,y)=(-22.8872,10.0525)
2525: (x,y)=(-22.6622,9.07817)
2526: (x,y)=(-23.2214,9.90721)
2527: (x,y)=(-22.8794,10.8469)
2528: (x,y)=(-21.8978,11.0377)
2529: (x,y)=(-21.5071,10.1172)
2530: (x,y)=(-22.3161,10.705)
2531: (x,y)=(-23.1641,11.2349)
2532: (x,y)=(-22.2305,11.5933)
2533: (x,y)=(-21.317,11.1865)
2534: (x,y)=(-21.5758,10.2206)
2535: (x,y)=(-20.6248,9.9116)
2536: (x,y)=(-19.6466,9.70369)
2537: (x,y)=(-18.6722,9.92864)
2538: (x,y)=(-17.6874,9.75499)
2539: (x,y)=(-17.9631,8.79373)
2540: (x,y)=(-18.2387,9.75499)
2541: (x,y)=(-18.1342,10.7495)
2542: (x,y)=(-17.2354,11.1879)
2543: (x,y)=(-16.3082,10.8133)
2544: (x,y)=(-17.3027,10.7087)
2545: (x,y)=(-16.3892,10.302)
2546: (x,y)=(-16.7959,9.38847)
2547: (x,y)=(-17.0883,10.3448)
2548: (x,y)=(-17.7039,9.55676)
2549: (x,y)=(-18.6821,9.76467)
2550: (x,y)=(-19.0405,10.6983)
2551: (x,y)=(-20.0108,10.4563)
2552: (x,y)=(-19.8716,11.4466)
2553: (x,y)=(-20.8678,11.3594)
2554: (x,y)=(-21.3977,10.5114)
2555: (x,y)=(-22.0668,9.76825)
2556: (x,y)=(-22.4894,8.86194)
2557: (x,y)=(-22.2306,9.82787)
2558: (x,y)=(-22.9377,10.535)
2559: (x,y)=(-22.0897,10.0051)
2560: (x,y)=(-21.2807,9.41727)
2561: (x,y)=(-20.2808,9.43472)
2562: (x,y)=(-21.259,9.64263)
2563: (x,y)=(-20.2644,9.74716)
2564: (x,y)=(-19.3815,9.27769)
2565: (x,y)=(-18.9908,8.35719)
2566: (x,y)=(-19.5354,9.19586)
2567: (x,y)=(-20.4559,8.80512)
2568: (x,y)=(-21.2106,9.46118)
2569: (x,y)=(-20.8199,10.3817)
2570: (x,y)=(-21.7109,9.9277)
2571: (x,y)=(-21.2414,9.04475)
2572: (x,y)=(-20.6396,8.24612)
2573: (x,y)=(-21.1988,7.41708)
2574: (x,y)=(-22.1891,7.55625)
2575: (x,y)=(-23.1454,7.26388)
2576: (x,y)=(-24.1197,7.03893)
2577: (x,y)=(-23.5898,6.19088)
2578: (x,y)=(-23.729,5.20061)
2579: (x,y)=(-24.495,5.8434)
2580: (x,y)=(-25.0686,5.02425)
2581: (x,y)=(-24.1414,4.64964)
2582: (x,y)=(-23.2017,4.30762)
2583: (x,y)=(-22.9598,3.33732)
2584: (x,y)=(-22.372,2.52831)
2585: (x,y)=(-22.7628,1.6078)
2586: (x,y)=(-23.3921,2.38495)
2587: (x,y)=(-22.4139,2.59286)
